catasto,OMI,OMIk,OMId,fascia,zona,cod_prev,stato_prev,microzona
A001,A00100B1,PD00000035,ZONA ALBERGHIERA - CENTRO,B,B1,20,N,1
A001,A00100B2,PD00001544,SEDE COMUNALE - CIRCONVALLAZIONE,B,B2,20,N,2
A001,A00100C1,PD00000036,"VIA SAN DANIELE,VIA MONTEGROTTO",C,C1,7,N,3
A001,A00100D1,PD00000037,"VIA GIARRE, VIA ROVERI",D,D1,20,N,4
A001,A00100D2,PD00000038,"ZONA ARTIGIANALE - VIA GUAZZI,VIA ROMANA,VIA PONTE DELLA FABBRICA",D,D2,7,N,4
A001,A00100D3,PD00002750,ZONA PRODUTTIVA,D,D3,7,N,0
A001,A00100E1,PD00002751,FRAZ: GIARRE,E,E1,20,N,0
A001,A00100E2,PD00002752,"ZONA PRODUTTIVA: VIA PONTE DELLA FABBRICA, FIDIA",E,E2,7,N,0
A001,A00100R1,PD00001569,ZONA RURALE - LOCALITA` FERIOLE,R,R1,101,,4
A001,A00100R2,PD00002754,ZONA RURALE,R,R2,101,,0
A004,A004000B,LO00000003,URBANA,B,B,20,N,1
A004,A00400R1,LO00000995,RURALE,R,R1,102,,1
A005,A00500B2,LC00002532,CENTRO EDIFICATO,B,B2,20,N,1
A005,A00500R1,LC00002932,ZONA RURALE,R,R1,0,,1
A006,A00600B1,SI00000029,CENTRO STORICO,B,B1,20,N,1
A006,A00600D1,SI00001471,ESTERNA ALLE MURA,D,D1,20,N,1
A006,A00600E1,SI00000037,LA SPIANATA,E,E1,7,N,1
A006,A00600E2,SI00000038,VETTA DEL MONTE AMIATA,E,E2,1,N,1
A006,A00600E3,SI00001511,LA MINIERA,E,E3,8,S,1
A006,A00600E4,SI00001512,VAL DI PAGLIA,E,E4,8,N,1
A006,A00600R2,SI00001411,RIMANENTE TERRITORIO COMUNALE,R,R2,197,,1
A007,A00700B1,OR00001050,CENTRO EDIFICATO,B,B1,20,N,1
A007,A00700E1,OR00000980,AGRO COMUNALE,E,E1,20,N,2
A007,A00700R1,OR00001789,AGRO COMUNALE,R,R1,101,,2
A008,A00800B1,PE00000040,CENTRO URBANO E ZONE LIMITROFE,B,B1,20,N,0
A008,A00800R1,PE00000973,RESTANTE TERRITORIO COMUNALE,R,R1,0,,0
A010,A010000B,MI00000348,ZONA CENTRALE,B,B,20,N,1
A010,A010000C,MI00000349,ZONA SEMICENTRALE,C,C,20,N,2
A010,A010000D,MI00000350,PERIFERIA,D,D,21,N,3
A010,A01000B1,MI00004564,CENTRO,B,B1,20,O,0
A010,A01000C1,MI00004565,SEMICENTRO,C,C1,20,N,0
A010,A01000D1,MI00004566,PERIFERIA,D,D1,20,N,0
A010,A01000R1,MI00003744,ZONA RURALE,R,R1,0,,0
A012,A01200B1,PT00000117,"PIRAMIDI, UCCELLIERA,PESCINONE",B,B1,20,N,1
A012,A01200D1,PT00000120,"BOSCOLUNGO, PONTE LIME, CONSUMA, MOTTE",D,D1,20,N,1
A012,A01200E1,PT00001283,"REGINE, VAL DI LUCE, FAIDELLO, FONTANA VACCAIA, CECCHETTO, PIANACCIO,  SECCHIA,  BICCHIERE",E,E1,20,N,1
A012,A01200E2,PT00001284,"SECCHIA, BICCHIERE",E,E2,20,N,2
A012,A01200R1,PT00001986,ZONA RURALE A SUD DEL TERRITORIO COMUNALE,R,R1,199,,1
A013,A013000R,PZ00001432,"AGRICOLA - C.DA FOSSA CUPA, C.DA CUGNI, C.DA FIUMARELLA, C.DA FIUMARA, C.DA LAMA",R,R,0,,4
A013,A01300B1,PZ00000029,CENTRO STORICO - VIA G. MARINELLI - VIA ROMA - VIA GARIBALDI,B,B1,21,N,1
A013,A01300B2,PZ00001971,CENTRO ABITATO,B,B2,21,N,0
A013,A01300D1,PZ00000030,C.DA BURGARO - C.DA PESCHIERA - VIA VARIANTE,D,D1,21,N,2
A013,A01300E1,PZ00001734,C.DA SCIFFRA - C.DA TINTIERA - C.DA LA POSTA,E,E1,21,N,3
A013,A01300R1,PZ00001972,C.DA SCIFFRA-C.DA TINTIERA-C.DA LA POSTA,R,R1,0,,0
A014,A01400B1,RG00000705,CENTRO STORICO,B,B1,21,N,0
A014,A01400D1,RG00000707,AREE ESTERNE AL CENTRO STORICO,D,D1,21,N,0
A014,A01400D2,RG00000594,CALVARIO - A NORD DI VIA AGRIGENTO- PIANO S. VINCENZO E VIA FIUME - PROV.LE ACATE-CHIARAMONTE,D,D2,21,N,2
A014,A01400E1,RG00000595,MARINA DI ACATE - MACCONI,E,E1,21,N,0
A014,A01400R1,RG00001150,ZONE AGRICOLE,R,R1,0,,0
A015,A01500B2,FG00002122,CENTRO URBANO,B,B2,20,N,1
A015,A01500R1,FG00001580,ZONA AGRICOLA,R,R1,0,,1
A016,A01600B1,CN00000111,CENTRO URBANO,B,B1,20,N,1
A016,A01600R1,CN00007494,ZONE AGRICOLE DEL TERRITORIO COMUNALE,R,R1,197,,1
A017,A01700B1,MT00000047,FG 20 -VIA MERIDIONALE- FONTANA-RIONE POZZO-RIONE NORD-VIA CIRCOLO-VIA EST. ORIENTALE-VIA CALVARIO-VIA  FARIUOLO,B,B1,21,N,1
A017,A01700D1,MT00000048,"FG  14P, 21P, 32P -ESTER. OCCIDEN.- CALATA FONTANA TERRA- ESTER. MERIDIONALE- DEL CALVARIO- ESTER. ORIENT.-S.S. 277",D,D1,21,N,1
A017,A01700R1,MT00000576,MONTAGNA TRA BASENTO E SAURO,R,R1,101,,1
A018,A01800B1,AQ00000064,"CENTRO STORICO, CORSO E PIAZZA DEL MUNICIPIO",B,B1,20,N,1
A018,A01800D1,AQ00000065,ZONE LIMITROFE ALLA FASCIA CENTRALE,D,D1,20,N,1
A018,A01800R1,AQ00002350,"FRAZIONI DI BEFFI, ROCCAPRETURO, SAN LORENZO, SUCCIANO E RESTANTE TERRITORIO COMUNALE",R,R1,0,,1
A019,A019000R,RI00000891,AGRICOLA,R,R,0,,1
A019,A01900B1,RI00001191,CAPOLUOGO,B,B1,21,N,1
A020,A020000R,PZ00001631,"AGRICOLA - C.DA S. DONATO, C.DA PIPOLI, C.DA ALVANELLO, C.DA CERASA",R,R,0,,3
A020,A02000B1,PZ00000038,CENTRO STORICO - CORSO UMBERTO I - RAMPA MAZZINI - L.GO GIANTURCO - SALITA SANTA SOFIA,B,B1,21,N,1
A020,A02000D1,PZ00000039,VIALE EUROPA - VIA A. MORO - C.DA PIANI S. NICOLA,D,D1,20,N,2
A022,A02200B1,BZ00000179,CENTRO ABITATO DEL CAPOLUOGO,B,B1,20,N,1
A022,A02200D1,BZ00000181,ZONA PRODUTTIVA ED ARTIGIANALE,D,D1,7,N,1
A022,A02200R1,BZ00001959,ZONA RESIDUALE AGRICOLA,R,R1,147,,1
A023,A02300B1,SA00000110,CENTRO URBANO,B,B1,20,N,0
A023,A02300C1,SA00000112,"ZONA A N DI LOC.SERRA,VIE DI CARPUNITO,CAPO CASALE,ZONA S DI V.FONTANELLA,ZONA O DI V.DEL MANGIONE,LOC.RIPA",C,C1,20,N,1
A023,A02300D1,SA00000114,FUORI PERIMETRO CENTRO URBANO- VIE: SOTTO GLI ORTI-MADONNA DELLE GRAZIE-CUOZZI-FOSSA-S.DONATO-FONTANARI-DELLA VALLE,D,D1,20,N,1
A023,A02300R1,SA00003310,RESTANTE PARTE DEL TERRITORIO COMUNALE,R,R1,0,,0
A023,A02300R2,SA00003311,COLLINARE,R,R2,197,,1
A024,A02400B1,NA00000031,"CENTRO STORICO: VIA ROMA, VIA VENETO, VIA SORIANO, VIA DA VINCI",B,B1,21,N,1
A024,A02400C1,NA00000033,"ZONA SEMICENTRALE: TRA ASSE MEDIANO, ASSE DI SUPPORTO E PROV. CAIVANO-CANCELLO",C,C1,20,N,2
A024,A02400D1,NA00000035,"PERIFERIA,ZONE INDUSTRIALI,GAUDELLO,PEZZALUNGA, AREE RURALI (EX FRASSINTELLI, PAGLIAIA,GANDIELLO,B.FANGONE,CANDELARO -S.AGOSTINO)",D,D1,20,N,3
A024,A02400D2,NA00004225,FASCIA MERIDIONALE DA NUOVA AREA PIP MARCHESA  A ZONA INDUSTRIALE ACERRA-POMIGLIANO,D,D2,20,N,0
A024,A02400E1,NA00004503,ZONA INDUSTRIALE ASI (MONTEFIBRE-INCENERITORE) E AREA DI RISPETTO,E,E1,8,N,0
A024,A02400R1,NA00004223,ZONA RURALE,R,R1,0,,0
A024,A02400R2,NA00004504,ZONA RURALE LOCALITA` GAUDELLO E PEZZALUNGA,R,R2,0,,0
A025,A02500B1,CT00000063,CENTRO STORICO: GARIBALDI- VENETO- CRISPI,B,B1,20,N,1
A025,A02500D1,CT00002392,PERFIFERICA A SUD DEL CENTRO STORICO: STURZO-VALVERDE-MATTEOTTI,D,D1,1,N,2
A026,A02600B1,CT00000072,CENTRO STORICO ED AREE CONTERMINI : MAIORANA - ROMA - MARCONI - CASTELLO - STAZIONE - VENETO,B,B1,21,N,1
A026,A02600C1,CT00001754,"LUNGOMARE LA SCOGLIERA, VIA A. MUSCO, VIA A. DA MESSINA, S.S. 114 LATO EST (MARE).",C,C1,20,N,1
A026,A02600D1,CT00000829,VAMPOLIERI-DE FELICE-CALABRETTA-S.S.114/P--OLIVA S.MAURO-VADALA-LITTERI,D,D1,20,N,2
A026,A02600D2,CT00002615,ACITREZZA NUCLEO STORICO E CAPOMILINI :MARINA -CAMPOFIORITO- LUNG. CICLOPI - LIVORNO/P-VERGA-FERRETTI,D,D2,20,N,3
A026,A02600D3,CT00002614,"LUNGOMARE LA SCOGLIERA, VIA A. MUSCO, VIA A. DA MESSINA, S.S. 114 LATO EST (MARE).",D,D3,20,N,3
A026,A02600D4,CT00002616,"CANNIZZARO CENTRO,  FIRENZE,  PARAFERA,  PEZZANA, S.S. 114  OVEST.",D,D4,20,N,4
A026,A02600D5,CT00002617,FICARAZZI E ZONE LIMITROFE: VIA ACICASTELLO - TRIPOLI - SAN GREGORIO - TRENTO - TRIESTE - GRASSO -FIUME-,D,D5,20,N,5
A026,A02600E1,CT00000073,"CANNIZZARO CENTRO,  FIRENZE,  PARAFERA,  PEZZANA, S.S. 114  OVEST.",E,E1,20,N,1
A026,A02600E2,CT00000074,ACITREZZA NUCLEO STORICO E CAPOMILINI :MARINA -CAMPOFIORITO- LUNG. CICLOPI - LIVORNO/P-VERGA-FERRETTI,E,E2,20,N,3
A026,A02600E3,CT00000830,FICARAZZI E ZONE LIMITROFE: VIA ACICASTELLO - TRIPOLI - SAN GREGORIO - TRENTO - TRIESTE - GRASSO -FIUME-,E,E3,20,N,5
A027,A02700B1,CT00000084,"CENTRO STORICO - VIA MARCONI, VIA STRANO, VIA VITT. EM.LE, VIA CONSOLAZIONE",B,B1,20,N,1
A027,A02700D1,CT00000839,"AREA PERIFERICA - C.DA S.LUCIA, PIGNO, MARCHESANA, EREMO S.ANNA, ACI S.FILIPPO",D,D1,20,N,2
A027,A02700E1,CT00000085,"AREA SUBURBANA - LEONARDI, NIZZETI, S.NICOLO`, VAMPOLIERI, OLIVA S.MAURO",E,E1,20,N,3
A028,A02800B1,CT00000124,"P.ZZA DUOMO, VIA VIGO, VIA ROMEO, C.SO UMBERTO/P., MADDEM, DEL POPOLO, P.ZZA S.BIAGIO, ROMA",B,B1,21,N,1
A028,A02800C1,CT00002772,"P.ZZA EUROPA, P.ZZA INDIRIZZO, C.SO UMBERTO/P., P.ZZA GARIBALDI, SAVOIA, C.SO ITALIA",C,C1,20,N,2
A028,A02800C2,CT00002773,"VIA WAGNER, VIGO, DELLA LIBERTA`, DAFNICA, TURCHIA",C,C2,20,N,3
A028,A02800D1,CT00001972,AREE DI ESPANSIONE LIMITROFE AL CENTRO STORICO,D,D1,20,N,1
A028,A02800D2,CT00002779,"S.M. DELLE GRAZIE, DELLO STADIO, TUPPARELLO, ACI PLATANI, S.CATERINA, IGEA",D,D2,20,N,4
A028,A02800D3,CT00002780,"VIA CRISTOFORO COLOMBO, PIANO D`API, VIA CERVO",D,D3,20,N,5
A028,A02800E1,CT00000127,S. MARIA LA SCALA-S. CATERINA-S. TECLA-STAZZO-CAPOMULINI-PIETRA MONACA-POZZILLO,E,E1,21,N,2
A028,A02800E2,CT00000128,GUARDIA MANGANO-PENNISI-MANGANO-PIANO API-S.G. BOSCO-S.M. AMMALATI,E,E2,20,N,3
A028,A02800E3,CT00000834,S. MARIA DELLE GRAZIE-SCIARELLE-LORETO-BALATELLE-ACI PLATANI ED AREE SEMICENTRALI A SUD DEL NUCLEO STORICO - BARACCHE,E,E3,20,N,4
A028,A02800E4,CT00002172,CONTRADE BARACCHE E ANZALONE,E,E4,21,N,5
A028,A02800E5,CT00002774,"CAPO MULINI: Via dei Maceratori, Via Unni, Via Rapallo",E,E5,20,N,6
A028,A02800E6,CT00002775,"GUARDIA MANGANO: Via Birago, Via Marlengo, Via Sperlinga",E,E6,21,N,6
A028,A02800E7,CT00002776,"SCILLICHENTI: Via Calvario, Via Trento",E,E7,20,N,7
A028,A02800E8,CT00002777,"POZZILLO, STAZZO: Via Casale, Via Barbiano, Via Trieste",E,E8,20,N,8
A028,A02800E9,CT00002778,"S.TECLA: Via Argenta, Via Molino",E,E9,20,N,9
A028,A02800R1,CT00002781,"Orfanotrofio Allegra, Via Marano, Via D¿Amico, Via Quasimodo",R,R1,0,,10
A028,A02800R2,CT00002782,"CONTRADA PENNISI, S.M.AMMALATI, BALATELLE, FIANDACA",R,R2,0,,11
A029,A02900B1,CT00000145,"CENTRO STORICO - VIA ROMA, M. CASALOTTO, MARCONI, SPIRITO SANTO",B,B1,20,N,1
A029,A02900D1,CT00001815,MONTEROSSO-LAVINAIO-FIANDACA-PENNISI-COLLEGIO,D,D1,20,N,2
A029,A02900D2,CT00002612,FRAZIONE SANTA MARIA LA STELLA - VIA TROPEA,D,D2,20,N,3
A029,A02900D3,CT00002613,"PERIFERICA AL CENTRO URBANO - VIA STURZO, MAZZINI, MATTEOTTI, SPIRITO SANTO",D,D3,20,N,4
A029,A02900E1,CT00000148,FRAZIONE SANTA MARIA LA STELLA,E,E1,20,N,2
A031,A03100B1,MC00000082,"CAPOLUOGO E FRAZIONI LIMITROFE (MERIGGIO,VESCIA,CAPOVESCIA,PIEDICOLLE,CAMPICINO,VALLECANTO,SCARAMUCCIA",B,B1,20,N,1
A031,A03100R1,MC00001516,"ZONA RURALE (LOCALITA COIA,LE CAPRECCE,POGGIO PIETRALATA,COLLE RIPE,FERRANO,RAGNOLO,ECC)",R,R1,0,,1
A032,A03200B1,FR00000045,"V.MUNICIPIO,V.ROMA,V.PUNZI,P.CADUTI, V.S.MARGHERITA,P.CHIESA",B,B1,20,N,1
A032,A03200B2,FR00001423,"VIA MUNICIPIO, VIA ROMA, VIA PUNZI, P.ZA CADUTI, VIA S. MARGHERITA, P.ZA CHIESA, VIA PROVINCIALE, VIA CASSINO",B,B2,20,N,1
A032,A03200C1,FR00000046,"VIA PROVINCIALE , VIA CASSINO",C,C1,20,N,1
A032,A03200D1,FR00000047,"PEZZELLE, POLMONARA,CASALE,COLLEVECCHIO,COLLE MARINO",D,D1,20,N,1
A032,A03200R3,FR00001424,"VIA PROVINCIALE, VIA CASSINO, PEZZELLE, POLMONARA, CASALE, COLLEVECCHIO, COLLEMARINO, CASTEL CASSINESE",R,R3,0,,1
A033,A03300B1,CS00000859,CENTRO STORICO E ZONE LIMITROFE,B,B1,20,N,1
A033,A03300D1,CS00000860,"PERIFERICA - VIA PANTANO, CONTRADA SAN GIOVANNI",D,D1,20,N,1
A033,A03300R1,CS00001509,"ZONA RURALE - L.TA CANNAMOSCA, FARNETO",R,R1,0,,1
A034,A03400B1,BS00000099,CENTRO ABITATO,B,B1,20,N,1
A034,A03400R1,BS00004162,AGRICOLA,R,R1,102,,1
A035,A03500B1,PS00000705,CENTRALE,B,B1,20,N,1
A035,A03500C1,PS00000706,ZONE LIMITROFE IL CENTRO,C,C1,20,N,1
A035,A03500D1,PS00000707,BELLARIA-POLE-PETRICCIO-FOSSATO,D,D1,20,N,0
A035,A03500D2,PS00001846,ZONA INDUSTRIALE FLAMINIA NORD,D,D2,7,N,0
A035,A03500E1,PS00000708,SUBURBANA,E,E1,20,N,1
A035,A03500R1,PS00000905,ZONA AGRICOLA-MONTANA SCARSAMENTE ABITATA,R,R1,0,,0
A038,A03800B1,MN00000743,ACQUANEGRA,B,B1,20,N,1
A038,A03800E2,MN00001026,MOSIO,E,E2,20,N,1
A038,A03800R1,MN00001027,ZONA AGRICOLA E FRAZIONI,R,R1,0,,1
A039,A03900B1,CR00000011,INTERO TERRITORIO URBANO,B,B1,20,N,1
A039,A03900R1,CR00001216,ZONA AGRICOLA,R,R1,102,,1
A040,A04000B1,VT00000279,"PIAZZE, G. FABRIZIO,  OBERDAN, SAURO, DEL RIGONGO, DELLA COSTITUENTE, VIE, G. MARCONI, SFORZA",B,B1,20,N,1
A040,A04000B2,VT00000280,"VIE, CASSIA, P. GRAZIANO, MALINTOPPA, CORTE VECCHIA, DEL POGGIO,",B,B2,20,N,2
A040,A04000B3,VT00000320,"CENTRALE : VIE, CASSIA,  V. VENETO,  G. MATTEOTTI,  DEL FIORE,  DELLA VITTORIA, V. CASTAGNO D ONANO(PRIMA PARTE)",B,B3,20,N,3
A040,A04000C1,VT00000321,"SEMICENTRALE: VIE, P. LA TORRE,  DELLO STADIO,  G. VERDI, DE GASPERI, CARDUCCI, CASTAGNO D ONANO, GIOTTO MAZZINI",C,C1,20,N,4
A040,A04000C2,VT00000322,"SEMICENTRALE: VIE, CASSIA, CASTI, CARMINE, G. ROSSA, BERLINGUER, 25 APRILE, ZANNONI, GINI, STRADA PROV. TORRETTA",C,C2,20,N,6
A040,A04000D1,VT00000337,ARTIGIANALE E COMMERCIALE : LOCALITA MADONNINA,D,D1,7,N,7
A040,A04000D2,VT00000342,ARTIGIANALE : LOCALITA CAMPO MARINO,D,D2,7,N,5
A040,A04000D3,VT00001044,ESPANSIONE,D,D3,20,N,0
A040,A04000E1,VT00000335,FRAZIONE TORRE ALFINA,E,E1,20,N,8
A040,A04000E2,VT00000336,FRAZIONE TREVINANO,E,E2,20,N,9
A040,A04000R1,VT00000678,RURALE,R,R1,101,,10
A041,A04100B1,CS00000027,CENTRO STORICO-VIA ROMA -VIA COLOMBO-TERME LUIGIANE-INTAVOLATA-MARINA,B,B1,20,N,1
A041,A04100D1,CS00000861,"PERIFERICA - VIA TERME LUIGIANE, CONTRADA RIUNCIA",D,D1,20,N,2
A041,A04100R1,CS00001508,"ZONA RURALE - C.DA  BERTINO, POLICARETTO",R,R1,0,,2
A042,A04200B1,LE00000066,CENTRALE,B,B1,20,N,1
A042,A04200B2,LE00002963,INTERO CENTRO ABITATO COMPRESA LA ZONA PRODUTTIVA.,B,B2,20,N,0
A042,A04200C1,LE00000067,SEMICENTRALE,C,C1,20,N,1
A042,A04200D1,LE00000068,PERIFERICA,D,D1,20,N,1
A042,A04200R1,LE00001986,AGRICOLA 1 NORD - EST,R,R1,0,,2
A042,A04200R2,LE00002127,AGRICOLA 2 - NORD-OVEST/ SUD-OVEST,R,R2,0,,3
A042,A04200R3,LE00002964,AGRICOLA,R,R3,0,,0
A043,A04300B1,VV00000035,"PIAZZA MUNICIPIO, MARCONI, VIA INDIPENDENZA, GALEANO, IV NOVEMBRE",B,B1,21,N,1
A043,A04300B2,VV00001799,"PIAZZA MUNICIPIO, MARCONI, VIA INDIPENDENZA, GALEANO,",B,B2,21,N,0
A043,A04300D1,VV00001238,"VIA SAN GIOVANNI, LUCIFERO, GALEANO, ORTENSIA, LOC. LA GUARDIA, MELIDORIO",D,D1,21,N,1
A043,A04300E1,VV00001239,"LOC. LIMPIDI, CROCEFISSO, C.DA GIARDINO, IEMMO",E,E1,21,N,1
A043,A04300E2,VV00001958,CONTRADA LIMPIDI,E,E2,21,N,0
A043,A04300R1,VV00001240,ZONA AGRICOLA,R,R1,0,,1
A043,A04300R2,VV00001800,ZONA AGRICOLA,R,R2,0,,0
A044,A04400B1,AP00001917,CAPOLUOGO E FRAZIONI LIMITROFE: PAGGESE E S. MARIA,B,B1,20,N,1
A044,A04400D1,AP00001918,FRAZIONI: ARLI E PONTE D`ARLI,D,D1,20,N,1
A044,A04400E2,AP00003717,FRAZIONI: ARLI E PONTE D`ARLI,E,E2,20,N,1
A044,A04400R1,AP00003077,PORZIONE AGRICOLA DEL TERRITORIO,R,R1,103,,1
A045,A04500B1,TR00000022,CENTRO STORICO-ESPANSIONE,B,B1,1,N,1
A045,A04500B2,TR00001412,CENTRO STORICO - PERIMETRO : VIA IV NOVEMBRE - VIA G.MARCONI - V.LE ROMA,B,B2,20,N,1
A045,A04500B3,TR00001413,ESPANSIONE,B,B3,1,N,2
A045,A04500B4,TR00001492,NUCLEO URBANO FUORI LE MURA,B,B4,1,N,100
A045,A04500D1,TR00000024,PERIFERICA,D,D1,20,N,3
A045,A04500E1,TR00000892,FIRENZUOLA,E,E1,20,N,3
A045,A04500E2,TR00001175,PORTARIA,E,E2,20,N,3
A045,A04500R1,TR00000814,FABBRICATI-COLTURE INTENSIVE,R,R1,0,,3
A045,A04500R2,TR00001493,RURALE,R,R2,0,,100
A047,A04700B1,AP00001920,CAPOLUOGO E DINTORNI,B,B1,20,N,1
A047,A04700D1,AP00001926,PORZIONE TERRITORIO A EST DEL CAPOLUOGO,D,D1,7,N,1
A047,A04700R1,AP00003078,PORZIONE AGRICOLA DEL CAPOLUOGO,R,R1,101,,1
A047,A04700R2,AP00003079,PORZIONE DI TERRITORIO A NORD DEL CAPOLUOGO,R,R2,0,,1
A048,A04800B1,BA00000057,CENTRO STORICO DELIMITATO DALL`ESTRAMURALE,B,B1,21,N,1
A048,A04800B2,BA00000058,"FINO ALLA FERROVIA, ALLE VIE: LEONEXIII - GUARICCI - S.GIOVANNI B. - UNGARETTI - GENTILE - PETRARCA - FERMI",B,B2,20,N,1
A048,A04800D1,BA00000059,PERIFERIA NORD - OLTRE LA FERROVIA - ZONA CIRCONVALLAZIONE - ZONA SUD,D,D1,20,N,1
A048,A04800D2,BA00002254,COMPRESA TRA LE PROVINCIALI PER GIOIA E SAMMICHELE,D,D2,9,N,1
A048,A04800E1,BA00000060,LOCALITA S.ELIA-OSPEDALE COLLONI,E,E1,1,N,2
A048,A04800E2,BA00000065,ZONA INDUSTRIALE-ARTIGIANALE- FINO ALL`AUTOSTRADA,E,E2,8,N,2
A048,A04800E3,BA00000950,ZONA INDUSTRIALE-ARTIGIANALE - VIA SAMMICHELE,E,E3,8,N,1
A048,A04800R1,BA00001814,"ZONA AGRICOLA: VIE PER SANNICANDRO, ADELFIA, GIOIA, STR. VIC. VALLATA",R,R1,103,,2
A048,A04800R2,BA00001914,ZONA AGRICOLA- VIC. TRULLO CIRCONDATA DAL TERRITORIO DEL COMUNE DI SANNICANDRO,R,R2,103,,3
A048,A04800R3,BA00001915,"ZONA AGRICOLA :TRATTURO FOLLONE, PROV. ALTAMURA-GIOIA, VIC. VALLATA - COMPRESO TRA I TERRITORI DI SANTERAMO E GIOIA DEL COLLE",R,R3,103,,4
A048,A04800R4,BA00001916,"ZONA AGRICOLA: VIC.REGIONE CELLAMARE, BELLAROSA, GIACOBINA - CIRCONDATA DAL TERR",R,R4,103,,5
A049,A04900B1,CL00000049,CENTRO EDIFICATO,B,B1,21,N,1
A049,A04900D1,CL00000050,"VIA GIARDINI-C/DE:CORVO,IMMACOLATA,GORGAZZI,VALLONE,FIGURELLA",D,D1,21,N,1
A049,A04900R1,CL00000720,ZONE RURALI,R,R1,231,,2
A050,A05000B1,CB00000020,CENTRO URBANO,B,B1,21,N,1
A050,A05000R2,CB00001419,RESTANTE PARTE DEL TERRITORIO COMUNALE,R,R2,101,,0
A051,A05100B1,IS00000013,CENTRO URBANO,B,B1,20,N,1
A051,A05100B2,IS00000806,CENTRO URBANO,B,B2,21,N,0
A051,A05100D1,IS00000014,CONTRADA LEAMO - MACERONE,D,D1,20,N,1
A051,A05100R1,IS00000580,INTERO TERRITORIO,R,R1,101,,1
A052,A05200B1,AL00000063,CENTRO STORICO,B,B1,20,N,0
A052,A05200D1,AL00004416,ZONA DI ESPANSIONE,D,D1,20,N,0
A052,A05200E1,AL00003344,BAGNI-LUSSITO,E,E1,20,N,0
A052,A05200E2,AL00003345,OSPEDALE- CIMITERO,E,E2,20,N,3
A052,A05200E3,AL00003346,ZONA AGRICOLA,E,E3,20,N,1
A052,A05200E4,AL00003347,FRAZIONE MOIRANO,E,E4,20,N,2
A052,A05200R1,AL00004156,ZONA AGRICOLA,R,R1,129,,1
A053,A05300B1,CS00000039,"CENTRO ED AREE LIMITROFE-PIAZZA ANNUNZIATA, VIA MATTEOTTI, VIA AMENDOLA, VIA ROM",B,B1,21,N,1
A053,A05300B2,CS00001308,EX ZONA D1 DEGRADATA - CENTRO STORICO,B,B2,20,S,1
A053,A05300C1,CS00000047,"SEMICENTRALE - VIA CATENA, VIA PRATORE, VIA SEGGIO",C,C1,20,N,1
A053,A05300D1,CS00000049,"VIA CATENA, PRATORE,SEGGIO",D,D1,20,N,2
A053,A05300E1,CS00003229,SAN GIACOMO,E,E1,21,N,0
A053,A05300R1,CS00001507,AREE RURALI,R,R1,0,,2
A054,A05400B1,FR00000048,"V.ROMA,V.DEL COLLE,V.LO GAUDENTE,C.UMBERTO 1, V.28 OTTOBRE,V.GARIBALDI,P.REGINA MARGHERITA,P.DANTE ALIGHIERI",B,B1,20,N,1
A054,A05400C1,FR00000049,"BORGO CASE NUOVE - V.STURZO,V.FRATELLI CERVI, V.G.MATTEOTTI, V. FILIPPO TURATI",C,C1,20,N,1
A054,A05400D1,FR00000050,PIAGGE -BURANO -PRATI LARGHI,D,D1,20,N,1
A054,A05400D2,FR00001663,"BORGO CASE NUOVE - V.STURZO,V.FRATELLI CERVI, V.G.MATTEOTTI, V. FILIPPO TURATI",D,D2,20,N,1
A054,A05400R3,FR00001664,PIAGGE -BURANO -PRATI LARGHI,R,R3,0,,1
A055,A05500B1,BA00000066,"CENTRO STORICO RIONE CANNETO (VIA KENNEDY, VIA PAPA IGNAZIO, PIAZZA GALTIERI)",B,B1,21,N,1
A055,A05500B2,BA00000067,"STRADA PROVINCIALE 206,VIA DELLA COSTITUENTE,PROLUNGAMENTO VIA CHIANCARO,VIA GUIDO ROSSA, DELLA RESISTENZA,MATTARELLA",B,B2,21,N,1
A055,A05500B3,BA00002134,"CENTRO STORICO RIONE MONTRONE (VIA PALMENTI, PIAZZA LEONE XIII, VIA GIARDINO)",B,B3,21,N,1
A055,A05500D1,BA00000068,"ZONA OLTRE L`ESTRAMURALE, VIA PER BITETTO ,CASAMASSIMA, ACQUAVIVA, RUTIGLIANO",D,D1,20,N,1
A055,A05500E1,BA00000069,"ZONA INDUSTRIALE-ARTIGIANALE-STRADA PROVINCIALE ADELFIA-CEGLIE , STRADA MERCADENTE CONTRADA SELVAGGIO,STRADA COMUN.PEZZA CANNETO",E,E1,8,N,1
A055,A05500E2,BA00000949,"STRADA PROVINCIALE ADELFIA-CEGLIE, STRADA MERCADANTE, CONTRADA SELVAGGIO",E,E2,20,N,1
A055,A05500R1,BA00001781,ZONA AGRICOLA,R,R1,129,,1
A056,A056000R,CT00001633,C.DE : PASSO ZINGARO-TIMPONE-CAVALLUCCIO-ZOTTA RADICE-,R,R,0,,3
A056,A05600B1,CT00000976,NUCLEO STORICO - VIE : VITT.EMANUELE III- M.D`AZEGLIO - REGINA MARGHERITA - S.PIETRO - CATENA - S.ANTONINO - DA BORMIDA - DE CARL,B,B1,21,N,1
A056,A05600C1,CT00000170,AREE SEMICENTRALI SUD: STATUTO DEI LAVORATORI-F.LL ROSSELLI-GIOBBE-SPAMPINATO-CAPACI-FOGLIUTA,C,C1,20,N,1
